x,y,organ
training_1.png,1,colon_5
training_2.png,1,prostate_8
training_3.png,3,colon_2
training_4.png,3,colon_4
training_5.png,0,breast_9
training_6.png,7,breast_8
training_7.png,5,breast_11
training_8.png,2,colon_9
training_9.png,5,breast_13
training_10.png,2,colon_8
training_11.png,2,breast_12
training_12.png,3,colon_9
training_13.png,6,breast_10
training_14.png,3,colon_9
training_15.png,6,breast_2
training_16.png,2,breast_8
training_17.png,1,prostate_1
training_18.png,3,colon_8
training_19.png,0,colon_6
training_20.png,10,prostate_1
training_21.png,11,breast_6
training_22.png,0,prostate_1
training_23.png,3,colon_12
training_24.png,0,breast_16
training_25.png,5,breast_17
training_26.png,3,colon_12
training_27.png,4,prostate_8
training_28.png,0,colon_13
training_29.png,0,colon_4
training_30.png,0,breast_3
training_31.png,1,breast_8
training_32.png,3,prostate_1
training_33.png,5,breast_11
training_34.png,0,breast_10
training_35.png,3,prostate_10
training_36.png,3,colon_8
training_37.png,22,breast_1
training_38.png,1,prostate_6
training_39.png,3,colon_10
training_40.png,1,breast_10
training_41.png,1,prostate_7
training_42.png,2,prostate_8
training_43.png,1,colon_4
training_44.png,0,breast_12
training_45.png,4,colon_5
training_46.png,13,colon_9
training_47.png,0,colon_4
training_48.png,0,colon_12
training_49.png,0,colon_9
training_50.png,1,colon_9
training_51.png,0,colon_12
training_52.png,3,colon_11
training_53.png,4,breast_8
training_54.png,8,breast_13
training_55.png,1,colon_5
training_56.png,3,colon_8
training_57.png,14,breast_15
training_58.png,1,breast_7
training_59.png,1,colon_9
training_60.png,1,colon_13
training_61.png,0,colon_3
training_62.png,3,colon_12
training_63.png,1,colon_5
training_64.png,5,colon_10
training_65.png,0,colon_4
training_66.png,1,breast_1
training_67.png,9,breast_3
training_68.png,1,colon_11
training_69.png,7,colon_4
training_70.png,2,breast_8
training_71.png,19,breast_14
training_72.png,0,prostate_3
training_73.png,2,prostate_11
training_74.png,1,breast_4
training_75.png,4,breast_9
training_76.png,0,colon_8
training_77.png,1,breast_10
training_78.png,3,breast_15
training_79.png,0,prostate_1
training_80.png,5,breast_9
training_81.png,1,colon_8
training_82.png,3,breast_1
training_83.png,3,prostate_1
training_84.png,1,colon_6
training_85.png,1,prostate_3
training_86.png,2,colon_6
training_87.png,2,colon_2
training_88.png,4,colon_5
training_89.png,1,colon_9
training_90.png,1,colon_10
training_91.png,19,colon_6
training_92.png,2,breast_11
training_93.png,1,breast_8
training_94.png,0,prostate_11
training_95.png,2,breast_16
training_96.png,3,breast_11
training_97.png,0,prostate_11
training_98.png,1,breast_10
training_99.png,10,colon_5
training_100.png,1,prostate_1
training_101.png,5,colon_10
training_102.png,7,colon_8
training_103.png,0,prostate_8
training_104.png,7,colon_9
training_105.png,0,breast_12
training_106.png,0,breast_9
training_107.png,2,colon_9
training_108.png,4,breast_3
training_109.png,12,breast_13
training_110.png,3,prostate_11
training_111.png,1,colon_10
training_112.png,15,prostate_1
training_113.png,2,colon_11
training_114.png,2,breast_18
training_115.png,1,prostate_1
training_116.png,3,breast_2
training_117.png,2,breast_10
training_118.png,9,colon_8
training_119.png,5,colon_4
training_120.png,3,prostate_7
training_121.png,17,breast_7
training_122.png,5,breast_9
training_123.png,15,breast_11
training_124.png,0,colon_4
training_125.png,2,breast_10
training_126.png,3,breast_11
training_127.png,1,breast_3
training_128.png,0,colon_13
training_129.png,2,prostate_3
training_130.png,0,breast_12
training_131.png,11,breast_11
training_132.png,1,colon_9
training_133.png,2,breast_6
training_134.png,2,prostate_5
training_135.png,1,breast_9
training_136.png,7,prostate_7
training_137.png,0,prostate_8
training_138.png,1,colon_8
training_139.png,26,prostate_3
training_140.png,2,breast_8
training_141.png,1,colon_11
training_142.png,1,breast_18
training_143.png,2,colon_9
training_144.png,1,breast_16
training_145.png,11,colon_13
training_146.png,4,prostate_10
training_147.png,1,colon_2
training_148.png,24,colon_1
training_149.png,1,colon_9
training_150.png,2,breast_11
training_151.png,4,breast_10
training_152.png,0,breast_8
training_153.png,2,colon_6
training_154.png,0,colon_8
training_155.png,10,breast_14
training_156.png,26,prostate_3
training_157.png,1,colon_12
training_158.png,1,breast_9
training_159.png,0,prostate_8
training_160.png,0,colon_10
training_161.png,10,prostate_7
training_162.png,0,prostate_5
training_163.png,1,colon_4
training_164.png,2,prostate_1
training_165.png,0,colon_13
training_166.png,4,colon_8
training_167.png,4,colon_8
training_168.png,1,colon_9
training_169.png,7,breast_8
training_170.png,3,prostate_1
training_171.png,2,breast_10
training_172.png,1,breast_9
training_173.png,0,prostate_1
training_174.png,1,breast_3
training_175.png,1,breast_2
training_176.png,0,colon_13
training_177.png,1,breast_12
training_178.png,3,prostate_3
training_179.png,0,prostate_1
training_180.png,20,colon_3
training_181.png,4,colon_8
training_182.png,10,colon_10
training_183.png,2,colon_8
training_184.png,14,colon_3
training_185.png,24,prostate_5
training_186.png,6,breast_11
training_187.png,0,colon_12
training_188.png,2,breast_5
training_189.png,2,colon_6
training_190.png,0,colon_12
training_191.png,3,prostate_5
training_192.png,1,prostate_3
training_193.png,1,colon_3
training_194.png,3,colon_2
training_195.png,0,breast_2
training_196.png,4,breast_4
training_197.png,1,breast_9
training_198.png,2,colon_5
training_199.png,4,colon_2
training_200.png,10,colon_10
training_201.png,5,colon_3
training_202.png,0,prostate_1
training_203.png,6,breast_2
training_204.png,2,prostate_3
training_205.png,1,breast_11
training_206.png,0,colon_8
training_207.png,0,prostate_2
training_208.png,1,breast_10
training_209.png,2,colon_10
training_210.png,1,colon_4
training_211.png,0,colon_3
training_212.png,1,breast_8
training_213.png,9,prostate_1
training_214.png,6,prostate_12
training_215.png,1,breast_12
training_216.png,2,breast_12
training_217.png,5,breast_1
training_218.png,13,colon_3
training_219.png,3,prostate_7
training_220.png,1,colon_2
training_221.png,1,prostate_2
training_222.png,5,colon_4
training_223.png,3,prostate_9
training_224.png,6,colon_8
training_225.png,1,breast_12
training_226.png,5,breast_1
training_227.png,5,breast_2
training_228.png,9,prostate_11
training_229.png,2,prostate_2
training_230.png,7,prostate_7
training_231.png,3,colon_5
training_232.png,1,prostate_5
training_233.png,20,breast_16
training_234.png,2,breast_18
training_235.png,6,colon_10
training_236.png,5,colon_10
training_237.png,7,prostate_6
training_238.png,4,colon_8
training_239.png,7,colon_6
training_240.png,5,breast_1
training_241.png,1,colon_9
training_242.png,13,breast_15
training_243.png,3,colon_11
training_244.png,0,prostate_2
training_245.png,0,prostate_5
training_246.png,6,prostate_4
training_247.png,0,prostate_1
training_248.png,5,breast_10
training_249.png,5,breast_2
training_250.png,1,breast_10
training_251.png,3,breast_9
training_252.png,0,prostate_11
training_253.png,0,prostate_8
training_254.png,2,prostate_1
training_255.png,7,colon_9
training_256.png,1,breast_8
training_257.png,0,breast_12
training_258.png,1,breast_12
training_259.png,1,breast_13
training_260.png,1,colon_3
training_261.png,2,colon_13
training_262.png,1,prostate_1
training_263.png,3,colon_2
training_264.png,6,breast_13
training_265.png,2,breast_13
training_266.png,0,prostate_1
training_267.png,4,colon_11
training_268.png,1,breast_2
training_269.png,2,colon_10
training_270.png,2,breast_15
training_271.png,1,colon_5
training_272.png,2,colon_13
training_273.png,1,colon_4
training_274.png,1,breast_12
training_275.png,4,breast_1
training_276.png,2,colon_8
training_277.png,1,colon_7
training_278.png,1,colon_3
training_279.png,11,breast_10
training_280.png,7,breast_11
training_281.png,3,colon_8
training_282.png,6,prostate_4
training_283.png,1,colon_8
training_284.png,1,breast_12
training_285.png,1,colon_3
